80,Amigos Pharmacy 524,3300 I-40 East,Amarillo,POTTER
81,Amistad Community Health Center,1533 S Brownlee Blvd Ste 100,Corpus Christi,NUECES
82,AMP Wellness,"10801 Giles Lane, Bldg 30",Austin,TRAVIS
83,AN&U Inc,1729 S Jackson St,Jacksonville,CHEROKEE
84,Angleton Primary Care,2020 East Mulberry St,Angleton,BRAZORIA
85,"Ann H. Snyder, Md, Pa",4561 Medical Center Drive,McKinney,COLLIN
86,"Annie & Chau, LP",10603 Bellaire Blvd,Houston,HARRIS
87,Anson General Hospital,101 Avenue J,Anson,JONES
88,ANWAR E MONROY MD PA,11351 JAMES WATT,El Paso,EL PASO
89,ARANSAS COUNTY DETENTION CENTER,811 EAST CONCHO,Rockport,ARANSAS
90,Archer City RHC/Archer Family Clinic,404 EAST CHESTNUT,Archer City,ARCHER
91,Argenal Pediatrics And Family Care,516 N Shary Rd,Mission,HIDALGO
92,Arise Austin Medical Center,3003 Bee Cave Road,Austin,TRAVIS
93,Arlington Community Health Center,979 N Cooper St,Arlington,TARRANT
94,Arlington Family Practice PA,2415 Matlock Rd,Arlington,TARRANT
95,Arlington Fire Department,620 W Division St.,Arlington,TARRANT
96,Arthur S Hernandez Md,88 Briggs St,San Antonio,BEXAR
97,Ascension Medical Group Georgetown,3721 Williams Drive,Georgetown,WILLIAMSON
98,Ascension Medical Group Seton Primary Care,15808 Ranch Road 620 N,Austin,WILLIAMSON
99,Ascension Medical Group Seton San Marcos,2108 Hunter Rd,San Marcos,HAYS
100,Ascension Medical Group Texas-Temple Fp,1905 Sw Hk Dodgen Loop,Temple,BELL
101,Ascension Medical Group Texas-Temple Pedi,1905 S.W H K Dodgen Loop,Temple,BELL
102,Ascension Providence Hospital,6901 Medical Pkwy,Waco,MCLENNAN
103,Ascension Seton Bastrop,630 W. Sh 71,Bastrop,TRAVIS
104,Ascension Seton Health Center Buda,5235 Overpass Rd,Buda,HAYS
105,Ascension Seton HIghland Lakes,3201 S. Water Street,Burnet,BURNET
106,Ascension Seton Highland Lakes Burnet Clinic,200 John W Hoover Pkwy,Burnet,BURNET
107,Ascension Seton Luling Internal Medicine Ste D,130 Hays Street,Luling,CALDWELL
108,Ascension Seton Northwest,11113 Research Blvd,Austin,TRAVIS
109,Ascension Seton Southwest,7900 FM 1826,Austin,TRAVIS
110,ASHFORD PHARMACY INC,3751 S DAIRY ASHFORD RD STE 102,Houston,HARRIS
111,Ashley Pediatrics Day And Night Clinic,17927 Washington Palm Dr,Penitas,HIDALGO
112,Ashley Pediatrics Day And Night Clinic La Joya,328 A E. Expressway 83,La Joya,HIDALGO
113,ASPG dba CHRISTUS Promptu Urgent Care,11823 Culebra Rd,San Antonio,BEXAR
114,ASPG dba CHRISTUS Promptu Urgent Care - New Braunfels,1659 W State Highway 46,New Braunfels,COMAL
115,"Aspire Hospital, LLC",2006 South Loop 336 West,Conroe,MONTGOMERY
116,Atascosa County EMS,915 Main St,Jourdanton,ATASCOSA
117,Atascosa Health Center Inc.,310 W Oaklawn Rd,Pleasanton,ATASCOSA
118,Atkins Express Pharmacy,2607 Hwy 281 N,Marble Falls,BURNET
119,"ATKINS PHARMACY SERVICES, INC.",701 THIRD ST,Marble Falls,BURNET
120,Atoms Pharmacy,2333 Fry Rd,Katy,HARRIS
121,ATX Primary Care,2301 North Loop Blvd,Austin,TRAVIS
122,Aubrey Pharmacy,701 S Highway 377,Aubrey,DENTON
123,Aurora Concepts Llc - Crockett,1261 E Loop 304,Crockett,HOUSTON
124,"Aurora Concepts, PLLC",233 Hurst Street,Center,SHELBY
125,Austin Diagnostic Clinic Travel Clinic,12221 N Mopac Expy,Austin,TRAVIS
126,AUSTIN EAR NOSE AND THROAT CLINIC,4315 JAMES CASEY,Austin,TRAVIS
127,"Austin Family Allergy & Asthma, PA",10801-2 N. Mopac Expwy,Austin,TRAVIS
128,Austin North Burnet,2608 Brockton Dr,Austin,TRAVIS
129,Austin Public Health,15 Waller Street,Austin,TRAVIS
130,Austin Public Health Immunization Program,15 Waller St Fl 3,Austin,TRAVIS
131,Austin Public Safety Wellness Center,517 S Pleasant Valley Rd,Austin,TRAVIS
132,Austin Radiological Association,12554 Riata Vista Circle,Austin,TRAVIS
133,Austin Regional Clinic - Anderson Mill,10401 Anderson Mill Rd Ste 110b,Austin,TRAVIS
134,Austin Regional Clinic - Bee Cave,15801 W Highway 71 Bldg 1,Bee Cave,TRAVIS
135,Austin Regional Clinic - Cedar Park,801 E Whitestone Blvd Ste C,Cedar Park,WILLIAMSON
136,Austin Regional Clinic - Center Street,22420 Ih 35,Kyle,HAYS
137,Austin Regional Clinic - Dripping Springs,27600 Ranch Road 12 Bldg 1,Dripping Springs,HAYS
138,Austin Regional Clinic - Far West,6835 Austin Center Blvd,Austin,TRAVIS
139,Austin Regional Clinic - Georgetown,940 W University Ave Ste 101,Georgetown,WILLIAMSON
140,Austin Regional Clinic - Hutto,151 Exchange Blvd Ste 500,Hutto,WILLIAMSON
141,Austin Regional Clinic - Kelly Lane,2100 Autumn Slate Dr Ste 150,Pflugerville,TRAVIS
142,Austin Regional Clinic - Kyle,4100 Everett Dr Ste 400,Kyle,HAYS
143,Austin Regional Clinic - Leander,901 Crystal Falls Pkwy Ste 103,Leander,WILLIAMSON
144,Austin Regional Clinic - Manor,11300 Us Highway 290 E Ste 230 Bldg 2,Manor,TRAVIS
145,Austin Regional Clinic - Pflugerville,15803 Windermere Dr Ste 103,Pflugerville,TRAVIS
146,Austin Regional Clinic - Quarry Lake,4515 Seton Center Pkwy Ste 220,Austin,TRAVIS
147,Austin Regional Clinic - Round Rock,940 Hesters Crossing Rd,Round Rock,WILLIAMSON
148,Austin Regional Clinic - Sendero Springs,1025 Sendero Springs Dr Ste 120,Round Rock,WILLIAMSON
149,Austin Regional Clinic - South,3828 S 1st St,Austin,TRAVIS
150,Austin Regional Clinic - Southwest,1807 W Slaughter Ln Ste 490,Austin,TRAVIS
151,Austin Regional Clinic - Wilson Parke,11714 Wilson Parke Ave Ste 150,Austin,Travis
152,Austin Regional Clinic-Buda,3420 Fm 967 Ste B100,Buda,HAYS
153,Austin State Hospital,0,Austin,TRAVIS
154,"AV Rehab, LLC",2902 S. 77 Sunshine Strip,Harlingen,CAMERON
155,Avenue 360 Health And Wellness Humble,9816 Memorial Blvd Ste 120,Humble,HARRIS
156,Avenue 360 Health And Wellness South Central,4405 Griggs Rd,Houston,HARRIS
157,Axtells Rite-Value Pharmacy Inc.,304 1/2 Charlie St,Whitesboro,GRAYSON
158,B And J Pharmacy - Wimberley,2111 Hunter Rd,San Marcos,HAYS
159,Babcock Health and Wellness Clinic,6423 Babcock Rd,San Antonio,BEXAR
160,Bacliff Community Health Center,1136 Grand Ave Bacliff,0,GALVESTON
161,Ballinger Hospital Clinic,2001 Hutchins Ave Ste C,Ballinger,RUNNELS
162,Ballinger Memorial Hospital District,608 Ave B,Ballinger,RUNNELS
163,Bandera Apothecary LP,6428 Bandera Rd,San Antonio,BEXAR
164,Bandera Family Health,7579 N Loop 1604 W Ste 100,San Antonio,BEXAR
165,Bandera Family Practice,1050 State Highway 16 S,Bandera,BANDERA
166,BANP Enterprises LLC,563 W FM 120,Pottsboro,GRAYSON
167,Baptist Hospitals of Southeast Texas,0,Beaumont,JEFFERSON
168,Baptist Medical Center,0,San Antonio,BEXAR
169,BARKER CYPRESS PHARMACY & HOME CARE EQUIPMENT LLC,1855 BARKER CYPRESS RD,Houston,HARRIS
170,Barnes & Williams Drug Center #2,4601 S 14th St,Abilene,TAYLOR
171,Bastrop Family Practice,275 Jackson St,Bastrop,BASTROP
172,Bay Area Dialysis Alice,901 medical center blvd,Alice,JIM WELLS
173,Bay Area Dialysis Aransas Pass,709 S. Commercial St.,Aransas Pass,SAN PATRICIO
174,Bay Area Dialysis-Sinton,222 East Sinton St,Sinton,SAN PATRICIO
175,Bay Colony Pediatrics,2251 Fm 646 Rd W,Dickinson,GALVESTON
176,Baybrook Care Pharmacy LLC,13630 Beamer Rd,Houston,HARRIS
177,Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,Houston,HARRIS
178,"Baylor Health Enterprises, L.P.",5236 West University Drive,McKinney,COLLIN
179,"Baylor Health Enterprises, L.P. dba Baylor Scott & White Phar",1600 West College Street,Grapevine,TARRANT
180,Baylor Orthopedic And Spine Hospital At Arlington,707 Highlander Blvd,Arlington,TARRANT
181,Baylor Scott & White Family Medical Center Waxahac,h2460 N. Ih-35e,Waxahachie,ELLIS
182,Baylor Scott & White Family Medical Center Waxahachie,2460 N. Ih-35e,Waxahachie,ELLIS
183,Baylor Scott & White Family Medicine Southwest,5701 Bryant Irvin Rd,Fort Worth,TARRANT
184,Baylor Scott & White Hospital - Grapevine,0,Grapevine,TARRANT
185,Baylor Scott & White Medical Center - College Statio,700 Scott And White Dr,College Station,BRAZOS
186,Baylor Scott & White Medical Center - College Station,0,College Station,BRAZOS
187,Baylor Scott & White Medical Center - Pflugerville,2600 E Pflugerville Pkwy Ste 100,Pflugerville,TRAVIS
188,Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN
189,Baylor Scott & White Medical Center - Taylor,305 Mallard Ln,Taylor,WILLIAMSON
190,Baylor Scott & White Medical Center Sunnyvale,231 S Collins Rd,Sunnyvale,DALLAS
191,Baylor Scott & White Medical Center Trophy Club,2850 East State Hwy 114,Roanoke,DENTON
192,Baylor Scott & White Pharmacy #101,3600 Gaston Avenue,Dallas,DALLAS
193,Baylor Scott & White Pharmacy #227,937 Canyon Creek Drive,Temple,BELL
194,Baylor Scott & White Primary Care Mckinney,5220 W University Drive,McKinney,COLLIN
195,Baylor Scott And White All Saints Medical Center - Fo,1 400 8th Ave,Fort Worth,TARRANT
196,Baylor Scott And White All Saints Medical Center - Fort Worth,0,Fort Worth,TARRANT
197,Baylor Scott and White Clinic San Saba,200 E. Wallace,San Saba,SAN SABA
198,Baylor Scott And White Health- Cedar Park Multispecialty Clini,i910 E Whitestone Blvd,Cedar Park,WILLIAMSON
199,Baylor Scott and White Healthcare,2005 W. Wallace,San Saba,SAN SABA
200,Baylor Scott And White Hillcrest Bellmead Clinic,851 N Loop 340,Waco,MCLENNAN
201,Baylor Scott And White Hillcrest Hewitt,1001 Hewitt Dr,Waco,MCLENNAN
202,BAYLOR SCOTT AND WHITE HQ,2401 S 31st Street,Temple,BELL
203,Baylor Scott and White Hsptl Grapevine,1650 W College St Ste 119,Grapevine,TARRANT
204,Baylor Scott and White Institute for Rehabilitation,909 North Washington Avenue,Dallas,DALLAS
205,Baylor Scott and White MC Mckinney,5252 W University Dr,McKinney,COLLIN
206,Baylor Scott And White Medical Center - Centennial,12505 Lebanon Rd,Frisco,COLLIN
207,Baylor Scott And White Medical Center - Irving,0,Irving,DALLAS
208,Baylor Scott And White Medical Center - Lake Pointe,6800 Scenic Dr,Rowlett,ROCKWALL
209,Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,Waxahachie,ELLIS
210,Baylor Scott And White Riverplace,10815 RANCH ROAD 2222 Bld 3a,Austin,TRAVIS
211,Baylor Scott And White Round Rock Family Medicine,425 University Blvd Ste 500,Round Rock,WILLIAMSON
212,Baylor Scott White Health MC Round Rock,0,Round Rock,WILLIAMSON
213,Baylor Scott White Institute Rehabilation Frisco,2990 Legacy Drive,Frisco,DENTON
214,Baylor Scott White Med Ctr Hillcrest,0,Waco,MCLENNAN
215,Baylor Surgicare at Blue Star LLC,3800 Gaylord Parkway,Frisco,DENTON
216,Baylor University Med Cntr Dallas,0,Dallas,DALLAS
217,Baylor University Student Health Services,209 Speight Ave Fl 2,Waco,MCLENNAN
218,BaylorScottandWhiteMedicalCenter-Temple,0,Temple,BELL
219,Bayside Clinic,621 S. Ross Sterling,Anahuac,CHAMBERS
220,Bayside Community Hospital,Po Box 398,Anahuac,CHAMBERS
221,Beaker pharmacy,7810 Eldorado Pkwy,McKinney,COLLIN
222,Beaumont Elite Emergency Center LLC,4004 College Street,Beaumont,JEFFERSON
223,Beaumont Family Practice,6450 Folsom Dr,Beaumont,JEFFERSON
224,Beaumont Health Department,3040 College St,Beaumont,JEFFERSON
225,Beaumont Kidney Center,1085 S 23rd St,Beaumont,JEFFERSON
226,Bee Caves Family Practice,1008 Ranch Rd 620 S,Austin,TRAVIS
227,Bell County Public Health District,509 S 9th St,Temple,BELL
228,"Bellaire Dermatology Associates, PA",6565 West Loop South,Bellaire,HARRIS
229,Bellmead Community Clinic,3400 Bellmead Dr,Waco,MCLENNAN
230,Bells Hill Community Clinic,911 S 20th St,Waco,MCLENNAN
231,Bellville Medical Center,44 N. Cummings St.,Bellville,AUSTIN
232,BELTLINE SURGERY CENTER,2858 N. BELTLINE ROAD,Sunnyvale,DALLAS
233,Ben Taub General Hospital,0,Houston,HARRIS
234,Benavides ISD,106 School Street,Benavides,DUVAL
235,Bent Tree Family Physicians,3550 Parkwood Blvd,Frisco,COLLIN
236,BERG & MINIGUTTI PLLC,8000 ELDORADO PKWY,McKinney,COLLIN
237,Berkeley Eye Center,3100 Weslayan,Houston,HARRIS
238,Best Discount Pharmacy,2316 34th Street,Lubbock,LUBBOCK
239,Best Value Country Day,6020A Harris Parkway,Fort Worth,TARRANT
240,Best Value Dan's Pharmacy,3521 Sw Wilshire Blvd,Joshua,JOHNSON
241,Best Value Hico Pharmacy,320 w. 1st St,Hico,HAMILTON
242,Best Value Hometown Pharmacy,1702 Santa Fe Dr,Weatherford,PARKER
243,Best Value Medical Center Pharmacy,1100 Bluebonnet St.,Glen Rose,SOMERVELL
244,Best Value Renshaw Pharmacy,800 Medical Center Dr Ste A,Decatur,WISE
245,Best Value Ridglea Pharmacy,5932 Lovell Ave,Fort Worth,TARRANT
246,Best Value Royce's Pharmacy,502 N Main St,Cleburne,JOHNSON
247,Best Value Waddy Pharmacy,106 Sw 6th Ave,Mineral Wells,PALO PINTO
248,Best Value West Pharmacy,124 W Renfro,Burleson,JOHNSON
249,Better Health Pharmacy,8615 S Hulen St,Fort Worth,TARRANT
250,Bienvivir Senior Health Services,2300 Mckinley Ave,El Paso,EL PASO
251,Big Bend Regional Health Center,2600 Highway North 118,Alpine,BREWSTER
252,Big Spring State Hospital,1901 N Us Highway 87,Big Spring,HOWARD
253,"Bio- Medical Applications of Texas, Inc",1802 Pine Street,Abilene,TAYLOR
254,"Bio-Medical Application of Texas, Inc.",10150 Legacy Dr,Frisco,DENTON
255,"BIO-MEDICAL APPLICATIONS OF TEXAS, INC",1673 CARTWRIGHT RD,Missouri City,FORT BEND
256,"BIO-MEDICAL APPLICATIONS OF TEXAS, INC.",4740 West Bellfort,Houston,HARRIS
257,Biomedical Applications of Texas,2202 Rollingbrook,Baytown,HARRIS
258,BioMedical Applications of Texas Inc,5895 Kyle Parkway,Kyle,HAYS
259,"BioMedical Applications of Texas, Inc",1003 N. Cleveland St,Dayton,LIBERTY
260,Bis Community Clinic,22140 Highway 90 N,Bedias,GRIMES
261,BJP healthcare llc,1724 S colorado street,Lockhart,CALDWELL
262,Blanco Pharmacy & Wellness,316 Pecan St.,Blanco,BLANCO
263,"Bluebonnet Hospice of East Texas, Inc",6400 Maple Ave,Dallas,DALLAS
264,Bluitt-Flowers Clinic,303 E Overton Rd,Dallas,DALLAS
265,BMA ALAMO CITY,805 CAMDEN STREET,San Antonio,BEXAR
266,BMA of Texas,2129 W Pecan St,Pflugerville,TRAVIS
267,"Borger Pharmacy, LLC",524 W. 10th,Borger,HUTCHINSON
268,Bowen Pediatrics,810 E Redd Rd Ste D,El Paso,EL PASO
269,Brady Medical Clinic,2010 Nine Rd,Brady,MCCULLOCH
270,Brazoria County Health Department,434 E Mulberry St,Angleton,BRAZORIA
271,Brazoria County Health Department-Lake Jackson,202 Peach St,Lake Jackson,BRAZORIA
272,BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,Alvin,BRAZORIA
273,"Brazoria County Health Dept., Pearland",2436 South Grand Blvd.,Pearland,BRAZORIA
274,Brazoria County Jail,3602 Co Rd 45,Angleton,Brazoria
275,Brazos County Health And Wellness,300 E Wm J Bryan Pkwy Ste 200,Bryan,BRAZOS
276,Brazosport Regional Family Medicine Center - Lake Jackson,208 Oak Dr S,Lake Jackson,BRAZORIA
277,BRC Healthcare Corporation,11503 Parsons Road,Manor,TRAVIS
278,Breckenridge Medical Center,101 S. Hartford,Breckenridge,STEPHENS
279,Brenham Drug Partners,2105 S Day Street,Brenham,WASHINGTON
280,Briargrove Pharmacy,6435 San Felipe St,Houston,HARRIS
281,Bridge Hospice,3409 19th Street,Lubbock,LUBBOCK
282,Briggs Family Medicine,910 Gruene Rd,New Braunfels,COMAL
283,"Broadway Family Clinic (ZN HealthCare Services, PLLC)",3129 Kingsley Drive,Pearland,BRAZORIA
284,Broadway Kidney Disease Center,8840 Tradeway St,San Antonio,BEXAR
285,Brodie Lane Pharmacy,8916 Brodie Ln Unit 300,Austin,TRAVIS
286,Brookshire Brothers #89,421 South Main,Lumberton,HARDIN
287,Brookshire Brothers Pharmacy #64,34692 Us Highway 96 S,Buna,JASPER
288,Brookshire Brothers Pharmacy #9,5249 Franz Rd,Katy,HARRIS
289,Brookshire Brothers Pharmacy of Kirbyville,1005 S Margaret Ave,Kirbyville,JASPER
290,Brookshire's Pharmacy #019,1105 W South Commerce St,Wills Point,VAN ZANDT
291,Brookshire's Pharmacy 008,747 Us Highway 259 N,Kilgore,GREGG
292,Brookshire's Pharmacy 011,807 E Tyler St,Athens,HENDERSON
293,Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,HOPKINS
294,Brookshire's Pharmacy 015,1478 N Beaulah St,Hawkins,WOOD
295,Brookshire's Pharmacy 9,2020 Roseland Blvd,Tyler,SMITH
296,Brookshires Pharmacy 002,706 W Main St,Van,VAN ZANDT
297,Brookshires Pharmacy 005,1203 Us Highway 380,Bridgeport,WISE
298,Brookshires Pharmacy 014,925 Clarksville St,Paris,LAMAR
299,Brookshires Pharmacy 023,1400 W. Moore St.,Terrell,KAUFMAN
300,Brookshires Pharmacy 028,2734 E 5th St,Tyler,SMITH
301,Brookshires Pharmacy 030,2107 S Loop 256,Palestine,ANDERSON
302,Brookshires Pharmacy 031,1224 N Pacific St,Mineola,WOOD
303,Brookshires Pharmacy 032,880 E State Highway 243,Canton,VAN ZANDT
304,Brookshires Pharmacy 033,205 W Frank St,Grand Saline,VAN ZANDT
305,Brookshires Pharmacy 035,2235 S Washington St,Kaufman,KAUFMAN
306,Brookshires Pharmacy 036,1310 N Brazos St,Whitney,HILL
307,Brookshires Pharmacy 039,20100 Hwy. 155 S.,Flint,SMITH
308,Brookshires Pharmacy 064,1200 S 3rd St,Mabank,HENDERSON
309,Brookshires Pharmacy 1,301 S Chestnut St,Lufkin,ANGELINA
310,Brookshires Pharmacy 10,300 W Us Highway 84,Fairfield,FREESTONE
311,Brookshires Pharmacy 100,9295 Hwy 6,Meridian,BOSQUE
312,Brookshires Pharmacy 1001,202 N Main St,Lumberton,HARDIN
313,Brookshires Pharmacy 1002,204 Broadway,Winnie,CHAMBERS
314,Brookshires Pharmacy 1004,210 N Main St,Bryan,BRAZOS
315,Brookshires Pharmacy 1005,810 S State St,Madisonville,MADISON
316,Brookshires Pharmacy 1007,31303 Fm 2920 Rd Ste H,Waller,HARRIS
317,Brookshires Pharmacy 1020,2075 Worth St,Hemphill,SABINE
318,Brookshires Pharmacy 106,125 Hall Rd,Seagoville,DALLAS
319,Brookshires Pharmacy 108,Po Box 1709,Red Oak,ELLIS
320,Brookshires Pharmacy 109,609 Linda Dr,Daingerfield,MORRIS
321,Brookshires Pharmacy 109 - Pilot Point,750 S Highway 377,Pilot Point,DENTON
322,Brookshires Pharmacy 11 - Brenham,303 N Austin Pkwy,Brenham,WASHINGTON
323,Brookshires Pharmacy 112,1111 N Hwy 287,Grapeland,HOUSTON
324,Brookshires Pharmacy 117,501 E Broadway St,Sweetwater,NOLAN
325,Brookshires Pharmacy 119,601 Palo Pinto St,Weatherford,PARKER
326,Brookshires Pharmacy 125,511 N Stewart St,Azle,TARRANT
327,Brookshires Pharmacy 126,Po Box 587,Springtown,PARKER
328,Brookshires Pharmacy 127,11205 N State Hwy 289,Pottsboro,GRAYSON
329,Brookshires Pharmacy 13 - Hearne,400 W 2nd St,Hearne,ROBERTSON
330,Brookshires Pharmacy 130,590 W Main St,Hallsville,HARRISON
331,Brookshires Pharmacy 131,1325 W White St,Anna,COLLIN
332,Brookshires Pharmacy 133,1001 Joshua Station St,Joshua,JOHNSON
333,Brookshires Pharmacy 14 - Newton,701 W Court St,Newton,NEWTON
334,Brookshires Pharmacy 16,603 E Houston St,Cleveland,LIBERTY
335,Brookshires Pharmacy 17,210 E Cherokee St,Jacksonville,CHEROKEE
336,Brookshires Pharmacy 18,520 S Magnolia St,Woodville,TYLER
337,Brookshires Pharmacy 19 - Rockdale,725 W Cameron Ave,Rockdale,MILAM
338,Brookshires Pharmacy 2,1216 South St,Nacogdoches,NACOGDOCHE
339,Brookshires Pharmacy 21,1253 W Church St,Livingston,POLK
340,Brookshires Pharmacy 22,425 N Main St,Rusk,CHEROKEE
341,Brookshires Pharmacy 23 - Trinity,515 S Robb St,Trinity,TRINITY
342,Brookshires Pharmacy 24,100 S Home St,Corrigan,POLK
343,Brookshires Pharmacy 25,1807 West Frank,Lufkin,ANGELINA
344,Brookshires Pharmacy 26,1117 N Main St,Jewett,LEON
