week,week_starting,vaccine_type,allocated_doses,pharmacyID
Week 4,1/4/21,Pfizer,1950,195
Week 3,12/28/20,Moderna,900,195
Week 13,3/8/21,Johnson,500,196
Week 1,12/14/20,Pfizer,975,196
Week 13,3/8/21,Moderna,200,197
Week 12,3/1/21,Moderna,200,197
Week 13,3/8/21,Johnson,100,198
Week 11,2/22/21,Moderna,100,199
Week 9,2/8/21,Moderna,100,199
Week 2,12/21/20,Moderna,100,199
Week 13,3/8/21,Johnson,200,200
Week 13,3/8/21,Johnson,200,201
Week 13,3/8/21,Johnson,3000,202
Week 12,3/1/21,Pfizer,1170,202
Week 4,1/4/21,Pfizer,1950,202
Week 13,3/8/21,Johnson,500,203
Week 3,12/28/20,Moderna,100,203
Week 12,3/1/21,Moderna,400,204
Week 11,2/22/21,Moderna,200,204
Week 13,3/8/21,Johnson,500,205
Week 5,1/11/21,Moderna,100,205
Week 3,12/28/20,Moderna,100,205
Week 2,12/21/20,Moderna,800,205
Week 13,3/8/21,Johnson,500,206
Week 5,1/11/21,Moderna,100,206
Week 3,12/28/20,Moderna,100,206
Week 2,12/21/20,Moderna,300,206
Week 1,12/14/20,Pfizer,975,207
Week 2,12/21/20,Moderna,700,208
Week 13,3/8/21,Pfizer,4680,209
Week 12,3/1/21,Pfizer,4680,209
Week 11,2/22/21,Pfizer,4680,209
Week 10,2/15/21,Moderna,2500,209
Week 9,2/8/21,Moderna,2500,209
Week 8,2/1/21,Moderna,5000,209
Week 5,1/11/21,Moderna,100,209
Week 2,12/21/20,Moderna,700,209
Week 13,3/8/21,Johnson,100,210
Week 13,3/8/21,Johnson,100,211
Week 2,12/21/20,Moderna,500,211
Week 13,3/8/21,Johnson,500,212
Week 3,12/28/20,Moderna,400,212
Week 1,12/14/20,Pfizer,975,212
Week 3,12/28/20,Moderna,300,213
Week 13,3/8/21,Johnson,1000,214
Week 3,12/28/20,Moderna,600,214
Week 1,12/14/20,Pfizer,975,214
Week 5,1/11/21,Moderna,100,215
Week 13,3/8/21,Pfizer,2340,216
Week 12,3/1/21,Pfizer,2340,216
Week 11,2/22/21,Pfizer,2340,216
Week 10,2/15/21,Pfizer,4875,216
Week 9,2/8/21,Pfizer,4875,216
Week 8,2/1/21,Pfizer,4875,216
Week 7,1/25/21,Pfizer,4875,216
Week 6,1/18/21,Pfizer,4875,216
Week 5,1/11/21,Moderna,1000,216
Week 3,12/28/20,Combination,2975,216
Week 1,12/14/20,Pfizer,2925,216
Week 13,3/8/21,Johnson,500,217
Week 4,1/4/21,Moderna,100,217
Week 2,12/21/20,Moderna,200,217
Week 3,12/28/20,Moderna,500,218
Week 2,12/21/20,Pfizer,975,218
Week 1,12/14/20,Moderna,3900,218
Week 13,3/8/21,Moderna,200,219
Week 6,1/18/21,Moderna,100,219
Week 13,3/8/21,Moderna,200,220
Week 8,2/1/21,Moderna,500,220
Week 13,3/8/21,Johnson,100,221
Week 5,1/11/21,Moderna,100,222
Week 2,12/21/20,Moderna,500,223
Week 8,2/1/21,Moderna,500,224
Week 3,12/28/20,Moderna,100,224
Week 11,2/22/21,Moderna,100,225
Week 13,3/8/21,Johnson,100,226
Week 5,1/11/21,Pfizer,3900,227
Week 4,1/4/21,Moderna,300,228
Week 2,12/21/20,Moderna,500,228
Week 6,1/18/21,Moderna,100,229
Week 13,3/8/21,Moderna,100,230
Week 6,1/18/21,Moderna,100,230
Week 13,3/8/21,Johnson,100,231
Week 5,1/11/21,Moderna,100,231
Week 4,1/4/21,Moderna,100,231
Week 4,1/4/21,Moderna,100,232
Week 13,3/8/21,Pfizer,5850,233
Week 12,3/1/21,Pfizer,7020,233
Week 11,2/22/21,Pfizer,5850,233
Week 10,2/15/21,Moderna,4000,233
Week 9,2/8/21,Moderna,1400,233
Week 8,2/1/21,Pfizer,3900,233
Week 5,1/11/21,Moderna,300,233
Week 4,1/4/21,Pfizer,1950,233
Week 3,12/28/20,Combination,2075,233
Week 2,12/21/20,Pfizer,975,233
Week 1,12/14/20,Pfizer,1950,233
Week 13,3/8/21,Johnson,100,234
Week 13,3/8/21,Johnson,100,235
Week 13,3/8/21,Johnson,100,236
Week 4,1/4/21,Moderna,200,236
Week 2,12/21/20,Moderna,500,236
Week 2,12/21/20,Moderna,500,237
Week 9-Fed,2/8/21,Moderna,100,238
Week 12,3/1/21,Moderna,500,239
Week 10,2/15/21,Moderna,100,240
Week 13,3/8/21,Moderna,100,241
Week 13,3/8/21,Johnson,100,242
Week 4,1/4/21,Moderna,100,242
Week 13,3/8/21,Johnson,200,243
Week 7,1/25/21,Moderna,300,243
Week 4,1/4/21,Moderna,200,244
Week 4,1/4/21,Moderna,100,245
Week 12,3/1/21,Moderna,100,246
Week 4,1/4/21,Moderna,100,246
Week 11,2/22/21,Moderna,100,247
Week 10,2/15/21,Moderna,100,247
Week 4,1/4/21,Moderna,100,248
Week 13,3/8/21,Johnson,100,249
Week 12,3/1/21,Moderna,200,249
Week 13,3/8/21,Moderna,1500,250
Week 7,1/25/21,Moderna,100,250
Week 13,3/8/21,Johnson,100,251
Week 8,2/1/21,Moderna,300,251
Week 5,1/11/21,Moderna,200,251
Week 5,1/11/21,Moderna,200,252
Week 3,12/28/20,Moderna,100,252
Week 2,12/21/20,Moderna,500,252
Week 13,3/8/21,Johnson,100,253
Week 11,2/22/21,Moderna,100,253
Week 13,3/8/21,Johnson,100,254
Week 13,3/8/21,Johnson,100,255
Week 11,2/22/21,Moderna,100,256
Week 11,2/22/21,Moderna,100,257
Week 13,3/8/21,Johnson,100,258
Week 13,3/8/21,Johnson,100,259
Week 13,3/8/21,Johnson,100,260
Week 10,2/15/21,Moderna,100,260
Week 5,1/11/21,Moderna,100,260
Week 13,3/8/21,Johnson,100,261
Week 13,3/8/21,Johnson,100,262
Week 10,2/15/21,Moderna,100,262
Week 9,2/8/21,Moderna,200,263
Week 7,1/25/21,Moderna,100,264
Week 5,1/11/21,Moderna,200,264
Week 11,2/22/21,Moderna,100,265
Week 13,3/8/21,Johnson,100,266
Week 13,3/8/21,Moderna,200,267
Week 9,2/8/21,Moderna,200,267
Week 4,1/4/21,Moderna,200,268
Week 13,3/8/21,Moderna,200,269
Week 4,1/4/21,Moderna,200,269
Week 13,3/8/21,Moderna,500,270
Week 12,3/1/21,Moderna,500,270
Week 11,2/22/21,Moderna,500,270
Week 10,2/15/21,Moderna,1000,270
Week 9,2/8/21,Moderna,2000,270
Week 8,2/1/21,Moderna,1000,270
Week 7,1/25/21,Moderna,700,270
Week 6,1/18/21,Moderna,700,270
Week 4,1/4/21,Moderna,100,270
Week 13,3/8/21,Moderna,500,271
Week 12,3/1/21,Moderna,500,271
Week 11,2/22/21,Moderna,500,271
Week 10,2/15/21,Moderna,1000,271
Week 6,1/18/21,Moderna,300,271
Week 4,1/4/21,Moderna,100,271
Week 13,3/8/21,Moderna,500,272
Week 12,3/1/21,Moderna,500,272
Week 11,2/22/21,Moderna,500,272
Week 10,2/15/21,Moderna,1000,272
Week 7,1/25/21,Moderna,700,272
Week 6,1/18/21,Moderna,700,272
Week 2,12/21/20,Moderna,300,272
Week 13,3/8/21,Moderna,500,273
Week 12,3/1/21,Moderna,500,273
Week 11,2/22/21,Moderna,500,273
Week 10,2/15/21,Moderna,1000,273
Week 6,1/18/21,Moderna,300,273
Week 13,3/8/21,Moderna,100,274
Week 13,3/8/21,Johnson,100,275
Week 4,1/4/21,Moderna,100,275
Week 13,3/8/21,Johnson,100,276
Week 13,3/8/21,Johnson,100,277
Week 13,3/8/21,Johnson,200,278
Week 11,2/22/21,Moderna,200,278
Week 4,1/4/21,Moderna,100,278
Week 4,1/4/21,Moderna,100,279
Week 13,3/8/21,Johnson,100,280
Week 7,1/25/21,Moderna,100,281
Week 2,12/21/20,Moderna,100,282
Week 13,3/8/21,Johnson,300,283
Week 13,3/8/21,Moderna,100,284
Week 11,2/22/21,Moderna,100,284
Week 13,3/8/21,Johnson,100,285
Week 13,3/8/21,Moderna,100,286
Week 13,3/8/21,Moderna,100,287
Week 2,12/21/20,Moderna,100,287
Week 2,12/21/20,Moderna,500,288
Week 13,3/8/21,Johnson,100,289
Week 13,3/8/21,Moderna,100,290
Week 12,3/1/21,Moderna,100,290
Week 10,2/15/21,Moderna,100,290
Week 2,12/21/20,Moderna,100,290
Week 2,12/21/20,Moderna,100,291
Week 13,3/8/21,Johnson,200,292
Week 12,3/1/21,Moderna,100,292
Week 11,2/22/21,Moderna,100,292
Week 9,2/8/21,Moderna,100,292
Week 8,2/1/21,Moderna,100,292
Week 2,12/21/20,Moderna,100,292
Week 13,3/8/21,Johnson,100,293
Week 11,2/22/21,Moderna,100,293
Week 9,2/8/21,Moderna,100,293
Week 4,1/4/21,Moderna,100,293
Week 2,12/21/20,Moderna,100,293
Week 13,3/8/21,Johnson,200,294
Week 11,2/22/21,Moderna,100,294
Week 9,2/8/21,Moderna,100,294
Week 4,1/4/21,Moderna,100,294
Week 2,12/21/20,Moderna,100,294
Week 2,12/21/20,Moderna,100,295
Week 13,3/8/21,Johnson,200,296
Week 9,2/8/21,Moderna,200,296
Week 8,2/1/21,Moderna,200,296
Week 2,12/21/20,Moderna,100,296
Week 13,3/8/21,Johnson,100,297
Week 4,1/4/21,Moderna,100,297
Week 2,12/21/20,Moderna,100,297
Week 13,3/8/21,Johnson,100,298
Week 4,1/4/21,Moderna,100,298
Week 2,12/21/20,Moderna,100,298
Week 13,3/8/21,Johnson,200,299
Week 11,2/22/21,Moderna,300,299
Week 10,2/15/21,Moderna,100,299
Week 9,2/8/21,Moderna,100,299
Week 4,1/4/21,Moderna,100,299
Week 2,12/21/20,Moderna,100,299
Week 2,12/21/20,Moderna,100,300
Week 13,3/8/21,Johnson,100,301
Week 10,2/15/21,Moderna,100,301
Week 2,12/21/20,Moderna,100,301
Week 13,3/8/21,Johnson,200,302
Week 11,2/22/21,Moderna,100,302
Week 9,2/8/21,Moderna,100,302
Week 4,1/4/21,Moderna,100,302
Week 2,12/21/20,Moderna,100,302
Week 13,3/8/21,Johnson,200,303
Week 12,3/1/21,Moderna,100,303
Week 9,2/8/21,Moderna,100,303
Week 2,12/21/20,Moderna,100,303
Week 13,3/8/21,Johnson,200,304
Week 12,3/1/21,Moderna,100,304
Week 11,2/22/21,Moderna,100,304
Week 8,2/1/21,Moderna,100,304
Week 2,12/21/20,Moderna,100,304
Week 13,3/8/21,Johnson,200,305
Week 11,2/22/21,Moderna,200,305
Week 9,2/8/21,Moderna,100,305
Week 4,1/4/21,Moderna,100,305
Week 2,12/21/20,Moderna,100,305
Week 13,3/8/21,Johnson,100,306
Week 10,2/15/21,Moderna,100,306
Week 4,1/4/21,Moderna,100,306
Week 2,12/21/20,Moderna,100,306
Week 2,12/21/20,Moderna,100,307
Week 13,3/8/21,Johnson,200,308
Week 12,3/1/21,Moderna,100,308
Week 11,2/22/21,Moderna,100,308
Week 9,2/8/21,Moderna,100,308
Week 8,2/1/21,Moderna,100,308
Week 4,1/4/21,Moderna,100,308
Week 2,12/21/20,Moderna,200,308
Week 13,3/8/21,Johnson,100,309
Week 2,12/21/20,Moderna,500,309
Week 13,3/8/21,Moderna,100,310
Week 10,2/15/21,Moderna,100,310
Week 2,12/21/20,Moderna,400,310
Week 4,1/4/21,Moderna,100,311
Week 2,12/21/20,Moderna,100,311
Week 13,3/8/21,Moderna,100,312
Week 2,12/21/20,Moderna,400,312
Week 2,12/21/20,Moderna,200,313
Week 13,3/8/21,Moderna,200,314
Week 12,3/1/21,Moderna,200,314
Week 2,12/21/20,Moderna,500,314
Week 13,3/8/21,Moderna,100,315
Week 9,2/8/21,Moderna,100,315
Week 2,12/21/20,Moderna,100,315
Week 2,12/21/20,Moderna,300,316
Week 13,3/8/21,Johnson,200,317
Week 2,12/21/20,Moderna,500,317
Week 2,12/21/20,Moderna,100,318
Week 13,3/8/21,Johnson,100,319
Week 9,2/8/21,Moderna,100,319
Week 4,1/4/21,Moderna,100,319
Week 2,12/21/20,Moderna,100,319
Week 13,3/8/21,Johnson,200,320
Week 12,3/1/21,Moderna,100,320
Week 11,2/22/21,Moderna,100,320
Week 10,2/15/21,Moderna,200,320
Week 8,2/1/21,Moderna,100,320
Week 4,1/4/21,Moderna,100,320
Week 2,12/21/20,Moderna,100,320
Week 4,1/4/21,Moderna,100,321
Week 2,12/21/20,Moderna,200,321
Week 4,1/4/21,Moderna,100,322
Week 2,12/21/20,Moderna,300,322
Week 11,2/22/21,Moderna,100,323
Week 2,12/21/20,Moderna,200,323
Week 13,3/8/21,Johnson,200,324
Week 4,1/4/21,Moderna,200,324
Week 2,12/21/20,Moderna,100,324
Week 13,3/8/21,Johnson,100,325
Week 2,12/21/20,Moderna,100,325
Week 3,12/28/20,Moderna,100,326
Week 2,12/21/20,Moderna,100,326
Week 13,3/8/21,Moderna,100,327
Week 4,1/4/21,Moderna,100,327
Week 2,12/21/20,Moderna,100,327
Week 13,3/8/21,Johnson,100,328
Week 11,2/22/21,Moderna,100,328
Week 10,2/15/21,Moderna,100,328
Week 9,2/8/21,Moderna,100,328
Week 3,12/28/20,Moderna,200,328
Week 2,12/21/20,Moderna,100,328
Week 13,3/8/21,Moderna,200,329
Week 9,2/8/21,Moderna,100,329
Week 2,12/21/20,Moderna,200,329
Week 13,3/8/21,Johnson,100,330
Week 12,3/1/21,Moderna,300,330
Week 11,2/22/21,Moderna,100,330
Week 10,2/15/21,Moderna,200,330
Week 4,1/4/21,Moderna,100,330
Week 2,12/21/20,Moderna,300,330
Week 13,3/8/21,Johnson,100,331
Week 4,1/4/21,Moderna,100,331
Week 3,12/28/20,Moderna,100,331
Week 2,12/21/20,Moderna,100,331
